year,n_gap_a,gap_a_pct,n_high_agency,dominant_ai_type,period,_note
2019,0,0,13,xai,pre_genai,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
2020,1,2,14,xai,pre_genai,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
2021,7,9,32,xai,pre_genai,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
2022,5,6,37,conversational,transition,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
2023,7,8,47,llm,genai,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
2024,13,10,71,agentic_ai,genai,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
2025,24,19,80,agentic_ai,genai,Gap A = high_agency AND CSDS=0. Run full pipeline for record-level detail.
